"filename", "language", "MS SQL", "Go", "HTML", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/bay/Desktop/Personal Projects/qIt-backend/cmd/api/main.go", "Go", 0, 31, 0, 0, 0, 3, 6, 40
"/Users/bay/Desktop/Personal Projects/qIt-backend/go.mod", "Go Module File", 0, 0, 0, 0, 17, 0, 6, 23
"/Users/bay/Desktop/Personal Projects/qIt-backend/go.sum", "Go Checksum File", 0, 0, 0, 22, 0, 0, 1, 23
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/api/handlers/auth.go", "Go", 0, 182, 0, 0, 0, 22, 31, 235
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/api/handlers/room.go", "Go", 0, 58, 0, 0, 0, 5, 16, 79
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/api/handlers/spotify_auth.go", "Go", 0, 99, 0, 0, 0, 17, 22, 138
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/api/handlers/spotify_controller.go", "Go", 0, 199, 0, 0, 0, 15, 31, 245
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/api/middlewares/auth.go", "Go", 0, 35, 0, 0, 0, 0, 7, 42
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/api/middlewares/log.go", "Go", 0, 15, 0, 0, 0, 5, 5, 25
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/api/middlewares/spotify_auth.go", "Go", 0, 141, 0, 0, 0, 18, 34, 193
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/config/config.go", "Go", 0, 42, 0, 0, 0, 2, 8, 52
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/db/create_tables.sql", "MS SQL", 44, 0, 0, 0, 0, 0, 7, 51
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/db/db.go", "Go", 0, 16, 0, 0, 0, 1, 5, 22
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/db/migrations.go", "Go", 0, 19, 0, 0, 0, 0, 5, 24
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/models/spotify.go", "Go", 0, 53, 0, 0, 0, 1, 10, 64
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/models/state_to_auth.go", "Go", 0, 102, 0, 0, 0, 14, 26, 142
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/models/users.go", "Go", 0, 40, 0, 0, 0, 0, 13, 53
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/server/pubsub/pub_sub_server.go", "Go", 0, 54, 0, 0, 0, 4, 13, 71
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/server/router.go", "Go", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/server/server.go", "Go", 0, 15, 0, 0, 0, 2, 3, 20
"/Users/bay/Desktop/Personal Projects/qIt-backend/internal/services/spotify_service.go", "Go", 0, 49, 0, 0, 0, 8, 10, 67
"/Users/bay/Desktop/Personal Projects/qIt-backend/pkg/utils/error_utils.go", "Go", 0, 33, 0, 0, 0, 3, 6, 42
"/Users/bay/Desktop/Personal Projects/qIt-backend/pkg/utils/jwt_utils.go", "Go", 0, 78, 0, 0, 0, 13, 22, 113
"/Users/bay/Desktop/Personal Projects/qIt-backend/pkg/utils/security_utils.go", "Go", 0, 66, 0, 0, 0, 13, 22, 101
"/Users/bay/Desktop/Personal Projects/qIt-backend/pkg/utils/state_utils.go", "Go", 0, 12, 0, 0, 0, 0, 3, 15
"/Users/bay/Desktop/Personal Projects/qIt-backend/static/index.html", "HTML", 0, 0, 22, 0, 0, 0, 8, 30
"/Users/bay/Desktop/Personal Projects/qIt-backend/test.db", "MS SQL", 50, 0, 0, 0, 0, 0, 3, 53
"Total", "-", 94, 1350, 22, 22, 17, 146, 326, 1977
